x,y,z,f
0.01175889054856738,1.767368420520984,2.157182767447354,5.280912172809125
0.4143831410692286,1.3633651506534608,0.04828225513827766,2.078760176757011
0.12472060057478584,1.326984142853406,1.2187695330615012,2.995211676653625
0.7989443415557311,1.55446502723249,2.571254702534437,5.625928284327264
0.17324690984410507,1.0634748337435405,0.023519970654100497,1.1845131844304828
0.19416592189936877,1.0891527033440527,0.42974289798024834,1.653696914408938
0.02714434924214193,1.1460143292480227,2.0627963720487936,3.3768820305863683
0.2730132782840796,1.3205949243179838,1.2803856989509934,3.0988929032048347
0.07400343869965886,1.5759053129868608,0.1161915196067752,2.605145584046365
0.14916920491174213,1.3500294600926985,0.9236056823122563,2.7684366771244404
0.7707599886711707,1.3801152313081355,2.029977985221801,4.528766997046892
0.08177470691072031,1.6296855662585035,2.2164025953714663,4.8789647429331
0.7704749818126034,1.3914727599103442,1.805250500217335,4.3350786393889775
0.7976286987451996,1.1501146191035214,0.7057598252744945,2.664735003412093
0.902408814364114,1.4275459462448907,2.8776281805631587,5.729857277445426
0.45569919037028217,1.8868432172538219,1.2093285623094387,4.977167640910323
0.5432712839635766,1.0203946114570481,0.8826815781504802,2.219030429220494
0.638625111602449,1.4010632417865492,0.11889542151602028,2.4897156621706946
0.4870716107697185,1.957004331351484,0.9750132849824477,5.042117991928725
0.047300353535258854,1.6921030042828589,1.2907787023577284,4.156228602905365
0.19958421727651077,1.6375013910825789,0.5972140554170887,3.318458721000347
0.3348062930511271,1.4845267706106031,2.390750600772715,4.7066655872988985
0.06512907879778185,1.4955196096271202,1.707629875229971,3.9484505749142724
0.24675373868553063,1.0690436197648476,2.9543748948627404,4.1581165633779555
0.12609900073233749,1.9376707777644357,1.5847803610913016,5.355249362079229
0.15703483991949063,1.6465508901046717,0.06692637801176549,2.802716152664792
0.15138808189613695,1.5136539231063826,1.7189440764340218,4.033010626709556
0.7239476047283897,1.5402067101733303,1.2395767494123349,4.1359135938672615
0.625288518869194,1.6875281013006482,0.013068067726543786,3.251804892235545
0.412790533101173,1.8224295062745943,0.23421051453837283,3.7258558440965848
